Operation mode is 6, should be 12
Write status: 0  (0 is good)
IMU Initialized
7Differential Pressure Sensor Initialized
MS5607 Initialized

Initialization Complete!


Cycles,State,Altitude,Heading,Yaw,Pitch,Roll,ServoEnable,CommandedYaw,CommandedPitch,CurrentLat,CurrentLon,TargetHeading
5018, -3326, 173, 2639, -23546, 24671, -29740, 6892, -24314, 24671, 11220, -24314, 24671, 11220, -23546, 24671, -29740, -23546, 24671, -29740, 0, 0, 0, 0, MS5607: 98959, 2509, 0693, 2917838, 0.000000, 0.000000, 0.000000
5045, -3626, 318, 2892, -23546, 24671, -29740, 6892, -23546, 24671, -29740, -23418, 28767, -29740, -23546, 24671, -29740, -24186, 28767, 11220, 0, 0, 0, 0, MS5607: 98959, 2509, 0747, 3417838, 0.000000, 0.000000, 0.000000
5071, -3921, 438, 3159, -24314, 24671, 11220, 6892, -24314, 24671, 11220, -24314, 24671, 11220, -25082, 24671, -13357, -24954, 28767, -13357, 0, 0, 0, 0, MS5607: 98959, 2509, 0693, 2917838, 0.000000, 0.000000, 0.000000
5099, -4270, 583, 3414, -23546, 24671, -29740, 6892, -24314, 24671, 11220, -23546, 24671, -29740, -22778, 24671, -5164, -22650, 28767, -5164, 0, 0, 0, 0, MS5607: 98963, 2509, 0711, 3117838, 0.000000, 0.000000, 0.000000
5124, -4633, 707, 3666, -22650, 28767, -5164, 6894, -24314, 24671, 11220, -23546, 24671, -29740, -23418, 28767, -29740, -21498, 24671, -29739, 0, 0, 0, 0, MS5607: 98963, 2509, 0711, 3117838, 0.000000, 0.000000, 0.000000
5151, -5041, 843, 3956, -24314, 24671, 11220, 6892, -23546, 24671, -29740, -23546, 24671, -29740, -23546, 24671, -29740, -22650, 28767, -5164, 0, 0, 0, 0, MS5607: 98963, 2509, 0729, 3217838, 0.000000, 0.000000, 0.000000
5178, -5458, 964, 4242, -22778, 24671, -5164, 6892, -24314, 24671, 11220, -23546, 24671, -29740, -23546, 24671, -29740, -22778, 24671, -5164, 0, 0, 0, 0, MS5607: 98967, 2510, 0711, 3117838, 0.000000, 0.000000, 0.000000
5205, -5917, 1091, 4549, -22778, 24671, -5164, 6892, -22778, 24671, -5164, -23546, 24671, -29740, -22778, 24671, -5164, -22778, 24671, -5164, 0, 0, 0, 0, MS5607: 98967, 2510, 0711, 3117838, 0.000000, 0.000000, 0.000000
5230, -6387, 1246, 4833, -23546, 24671, -29740, 6892, -22778, 24671, -5164, -22266, 24671, 11221, -22138, 28767, 11221, -24314, 24671, 11220, 0, 0, 0, 0, MS5607: 98967, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5258, -6905, 1444, 5117, -23546, 24671, -29740, 6892, -22778, 24671, -5164, -22266, 24671, 11221, -22266, 24671, 11221, -22266, 24671, 11221, 0, 0, 0, 0, MS5607: 98965, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5284, -7432, 1634, 5402, -22650, 28767, -5164, 6894, -22778, 24671, -5164, -22266, 24671, 11221, -22266, 24671, 11221, -22778, 24671, -5164, 0, 0, 0, 0, MS5607: 98965, 2510, 0758, 3517838, 0.000000, 0.000000, 0.000000
5311, -8009, 1830, 5710, -22650, 28767, -5164, 6894, -22778, 24671, -5164, -23546, 24671, -29740, -22266, 24671, 11221, -22266, 24671, 11221, 0, 0, 0, 0, MS5607: 98965, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5337, -8589, 2005, 6043, -22266, 24671, 11221, 6892, -22138, 28767, 11221, -22266, 24671, 11221, -23546, 24671, -29740, -22266, 24671, 11221, 0, 0, 0, 0, MS5607: 98964, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5364, -9199, 2216, 6365, -23546, 24671, -29740, 6892, -22778, 24671, -5164, -22778, 24671, -5164, -22778, 24671, -5164, -22778, 24671, -5164, 0, 0, 0, 0, MS5607: 98964, 2510, 0747, 3417838, 0.000000, 0.000000, 0.000000
5390, -9796, 2444, 6656, -23418, 28767, -29740, 6894, -22778, 24671, -5164, -22778, 24671, -5164, -22778, 24671, -5164, -21498, 24671, -29739, 0, 0, 0, 0, MS5607: 98964, 2510, 0711, 3117838, 0.000000, 0.000000, 0.000000
5417, -10495, 2704, 7012, -22266, 24671, 11221, 6892, -23546, 24671, -29740, -21498, 24671, -29739, -23546, 24671, -29740, -22778, 24671, -5164, 0, 0, 0, 0, MS5607: 98962, 2510, 0758, 3517838, 0.000000, 0.000000, 0.000000
5443, -11169, 2965, 7351, -22778, 24671, -5164, 6892, -23546, 24671, -29740, -23546, 24671, -29740, -22778, 24671, -5164, -22138, 28767, 11221, 0, 0, 0, 0, MS5607: 98962, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5470, -11882, 3299, 7706, -23546, 24671, -29740, 6892, -23546, 24671, -29740, -22778, 24671, -5164, -25082, 24671, -13357, -24186, 28767, 11220, 0, 0, 0, 0, MS5607: 98962, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5497, -12584, 3644, 8027, 1030, 24671, -29760, 6380, -24314, 24671, 11220, -24314, 24671, 11220, -22778, 24671, -5164, -24186, 28767, 11220, 0, 0, 0, 0, MS5607: 98961, 2510, 0711, 3117838, 0.000000, 0.000000, 0.000000
5523, -13343, 4040, 8349, -23546, 24671, -29740, 6892, -22778, 24671, -5164, -22650, 28767, -5164, -22778, 24671, -5164, -24186, 28767, 11220, 0, 0, 0, 0, MS5607: 98961, 2510, 0711, 3117838, 0.000000, 0.000000, 0.000000
5549, -14099, 4440, 8669, -22778, 24671, -5164, 6892, -23546, 24671, -29740, -22266, 24671, 11221, -23546, 24671, -29740, -25082, 24671, -13357, 0, 0, 0, 0, MS5607: 98961, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5576, -14889, 4835, 9022, -22266, 24671, 11221, 6892, -22266, 24671, 11221, -22266, 24671, 11221, -22778, 24671, -5164, -24186, 28767, 11220, 0, 0, 0, 0, MS5607: 98960, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5602, -15674, 5220, 9391, -22266, 24671, 11221, 6892, -23418, 28767, -29740, -23546, 24671, -29740, -23418, 28767, -29740, -22778, 24671, -5164, 0, 0, 0, 0, MS5607: 98960, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5629, -16518, 5641, 9784, -22778, 24671, -5164, 6892, -23546, 24671, -29740, -23418, 28767, -29740, -22778, 24671, -5164, -24186, 28767, 11220, 0, 0, 0, 0, MS5607: 98960, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5655, -17374, 6067, 10144, -23546, 24671, -29740, 6892, -24186, 28767, 11220, -24314, 24671, 11220, -23546, 24671, -29740, -22778, 24671, -5164, 0, 0, 0, 0, MS5607: 98962, 2510, 0711, 3117838, 0.000000, 0.000000, 0.000000
5682, -18288, 6497, 10526, -22778, 24671, -5164, 6892, -22266, 24671, 11221, 262, 88, 11200, -21498, 24671, -29739, -22266, 24671, 11221, 0, 0, 0, 0, MS5607: 98962, 2510, 0747, 3417838, 0.000000, 0.000000, 0.000000
5708, -19138, 6878, 10900, -24314, 24671, 11220, 6892, -22266, 24671, 11221, -22266, 24671, 11221, -22266, 24671, 11221, -22266, 24671, 11221, 0, 0, 0, 0, MS5607: 98962, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
5735, -20094, 7282, 11344, -22266, 24671, 11221, 6892, -22266, 24671, 11221, -21498, 24671, -29739, -22266, 24671, 11221, -22138, 28767, 11221, 0, 0, 0, 0, MS5607: 98963, 2510, 0758, 3517838, 0.000000, 0.000000, 0.000000
5761, -20994, 7713, 11760, -21498, 24671, -29739, 6892, -23546, 24671, -29740, -22778, 24671, -5164, -21498, 24671, -29739, -21498, 24671, -29739, 0, 0, 0, 0, MS5607: 98963, 2510, 0729, 3217838, 0.000000, 0.000000, 0.000000
